LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID10911,10911,17,5490.52197265625,23.74029934287923,66.29489898144422,0.0,5.91,197,0.5,1,,14944.761904761905,13904.0,8094.0,23926.0,313840.0,4964.19220925985,0.2641111420416099,1.2579745970727996
ID10944,10944,14,21952.212890625,25.91568994280921,52.595888589263225,0.0,5.9399999999999995,198,0.5,1,,65222.28571428572,65535.0,61566.0,65535.0,1369668.0,1011.1619624400997,0.5158775843298437,43.9023545449806
ID10945,10945,15,6232.7705078125,3.3763280805025704,58.60745370677613,0.0,5.9399999999999995,198,0.5,1,,14234.285714285714,13786.0,6129.0,23581.0,298920.0,5468.255783546131,0.3690019929480301,1.4032707892179788
ID10946,10946,19,18817.962890625,12.221794670132418,64.25767040554338,0.0,5.9399999999999995,198,0.5,1,,28229.666666666668,24768.0,8319.0,62481.0,592823.0,15380.563677360245,0.5985841061393856,1.3745267116025166
ID10947,10947,17,5500.6416015625,23.731964483632645,66.29976643457846,0.0,5.9399999999999995,198,0.5,1,,14911.666666666666,14015.0,7921.0,23963.0,313145.0,4910.700706959581,0.26412579313216794,1.2689170653372195
ID10930,10930,0,24555.673828125,27.825446894570902,9.3214680091806,0.0,5.9399999999999995,198,0.5,1,,32831.619047619046,26377.0,7579.0,65535.0,689464.0,20221.111513653723,0.7098500641113045,1.3481116702033593
ID10931,10931,1,7930.849609375,11.69583870708751,9.564193443313862,0.0,5.9399999999999995,198,0.5,1,,14198.0,12633.0,4844.0,27033.0,298158.0,6673.903722709821,0.502667150358208,1.423295061659871
ID10932,10932,2,9003.5,9.439118224679925,14.602534156632656,0.0,5.9399999999999995,198,0.5,1,,15399.619047619048,13546.0,4163.0,31898.0,323392.0,7640.53421873229,0.5057874177524513,1.3540060521646773
ID10933,10933,3,8955.8095703125,16.26616028039986,16.843774115366145,0.0,5.9399999999999995,198,0.5,1,,15846.190476190477,13692.0,6155.0,30732.0,332770.0,7288.917338117148,0.5037316632048054,1.4565344076169133
ID10934,10934,4,8037.22802734375,3.488790855088001,18.702200902041984,0.0,5.9399999999999995,198,0.5,1,,14610.857142857143,13999.0,5057.0,27930.0,306828.0,6709.8811560691165,0.4921547891252238,1.436410927758923
ID10935,10935,5,20494.916015625,20.752192620807637,28.66842643492142,0.0,5.9399999999999995,198,0.5,1,,27109.14285714286,24442.0,7132.0,65535.0,569292.0,16070.450545288748,0.6915657780942266,1.3793114233213504
ID10936,10936,7,20381.25,35.14656023244155,33.43460446987071,0.0,5.9399999999999995,198,0.5,1,,38120.619047619046,37220.0,14058.0,65535.0,800533.0,15625.740099195911,0.5408860466538105,1.712713020401538
ID10937,10937,6,7302.126953125,22.745928431235164,33.66779795780306,0.0,5.9399999999999995,198,0.5,1,,14053.380952380952,13531.0,4337.0,27816.0,295121.0,6634.040243141357,0.4195108347272896,1.2520947171585683
ID10938,10938,8,24705.880859375,17.13555875247934,34.57735444538202,0.0,5.9399999999999995,198,0.5,1,,37349.09523809524,30173.0,19009.0,65535.0,784331.0,15990.517442862072,0.6966935824068856,1.9181649756396628
ID10939,10939,9,15191.95703125,28.547190253885212,38.579230006828546,0.0,5.9399999999999995,198,0.5,1,,24180.714285714286,19281.0,11706.0,50893.0,507795.0,11807.289342363289,0.5695960451100215,1.4863736056772177
ID10940,10940,10,11775.349609375,29.523663592105887,41.61474021080515,0.0,5.9399999999999995,198,0.5,1,,29152.47619047619,29069.0,20135.0,43739.0,612202.0,6021.845818509865,0.4580913625984297,3.0418877158478894
ID10941,10941,11,7448.05224609375,19.20019104794674,44.75111997886366,0.0,5.9399999999999995,198,0.5,1,,15554.52380952381,14376.0,5538.0,27562.0,326645.0,6588.996809978341,0.4080383526083655,1.3682136520112858
ID10942,10942,12,7010.17138671875,18.161600890214956,47.48966014670509,0.0,5.9399999999999995,198,0.5,1,,14610.761904761905,14151.0,5382.0,27184.0,306826.0,6088.04546553951,0.3900937033139916,1.3469449187228129
ID10943,10943,13,6857.08251953125,10.03890363367216,48.0023932033016,0.0,5.9399999999999995,198,0.5,1,,14526.57142857143,15198.0,5537.0,25998.0,305058.0,5900.872974157541,0.40224155108992066,1.4123455063462491
ID10848,10848,8,22680.287109375,16.99595740724434,34.5076551113943,0.0,5.97,199,0.5,1,,33057.80952380953,32808.0,10751.0,65535.0,694214.0,18105.714566454004,0.6757448110056118,1.4725268937173055
ID10849,10849,9,15790.783203125,28.66099458054249,38.55982307372891,0.0,5.97,199,0.5,1,,23238.666666666668,18378.0,8020.0,57035.0,488012.0,12700.55455613389,0.5585302313623848,1.3114446686392331
ID10850,10850,10,11577.931640625,29.514813159505678,41.61424676030267,0.0,5.97,199,0.5,1,,28940.238095238095,28541.0,19773.0,43275.0,607745.0,5814.89441782705,0.4586126275226794,3.129653818046675
ID10851,10851,11,7579.716796875,19.19769361717173,44.75559590177855,0.0,5.97,199,0.5,1,,15672.238095238095,14483.0,5487.0,28025.0,329117.0,6742.574070077109,0.4134278885054697,1.3597573146011757
ID10852,10852,12,7071.87939453125,18.16251729398307,47.48697669480285,0.0,5.97,199,0.5,1,,14618.047619047618,14290.0,5575.0,27759.0,306979.0,6147.250413609246,0.390278048709124,1.3350911663109073
ID10853,10853,13,7015.61572265625,10.041121906707316,48.000642086345806,0.0,5.97,199,0.5,1,,14695.47619047619,14986.0,5510.0,26392.0,308605.0,6065.594048558208,0.40644878365373394,1.4003036620817364
ID10854,10854,14,22256.392578125,25.734036237056305,52.72603524497556,0.0,5.97,199,0.5,1,,59423.52380952381,65535.0,25403.0,65535.0,1247894.0,11916.773794190476,0.4901045311145448,3.280210272060402
ID10855,10855,15,6275.076171875,3.374270169649199,58.61543493353398,0.0,5.97,199,0.5,1,,14223.952380952382,13588.0,6465.0,23938.0,298703.0,5487.8106789155045,0.3671710778999104,1.3921844125507181
ID10856,10856,19,18671.849609375,12.202456323208938,64.15376285885937,0.0,5.97,199,0.5,1,,27614.714285714286,24915.0,8523.0,65024.0,579909.0,14767.184430834663,0.5936594798448998,1.3932040480824883
ID10857,10857,17,5583.34521484375,23.72785709477641,66.30397912671759,0.0,5.97,199,0.5,1,,14885.047619047618,14338.0,7929.0,24572.0,312586.0,5042.10798650912,0.2651927347642872,1.2375792351253567
ID10840,10840,0,24407.40625,27.840462000893478,9.325480573145162,0.0,5.97,199,0.5,1,,32593.571428571428,25758.0,7839.0,65535.0,684465.0,20041.326137687167,0.7106854776054716,1.3512719552006893
ID10841,10841,1,7994.2607421875,11.690992468039267,9.565100144579153,0.0,5.97,199,0.5,1,,14201.190476190477,12847.0,4821.0,27607.0,298225.0,6757.962116045396,0.5035382413960627,1.4075277813372993
ID10842,10842,2,8915.333984375,9.441752249971195,14.596325078403256,0.0,5.97,199,0.5,1,,15319.809523809523,13539.0,4230.0,31972.0,321716.0,7631.1099233273235,0.5038534281431694,1.3452232334557688
ID10843,10843,3,8982.8505859375,16.269170293448337,16.844798500609656,0.0,5.97,199,0.5,1,,15879.714285714286,13711.0,6164.0,30765.0,333474.0,7333.165790726793,0.5040960227665229,1.4515061628370634
ID10844,10844,4,8203.154296875,3.480419296654297,18.66990253287572,0.0,5.97,199,0.5,1,,14525.666666666666,13965.0,4543.0,28920.0,305039.0,6845.221342902896,0.4920302113578667,1.3995638828153245
ID10845,10845,5,21660.32421875,20.562804882053726,28.9246121789522,0.0,5.97,199,0.5,1,,27986.95238095238,20561.0,7041.0,65535.0,587726.0,16935.373708531475,0.7036869877018405,1.3651505043702106
ID10846,10846,7,18800.482421875,35.22933839436813,33.38872881037078,0.0,5.97,199,0.5,1,,34638.0,28430.0,12061.0,65535.0,727398.0,16219.643180415529,0.48004835127765444,1.385321538994296
ID10847,10847,6,7369.66357421875,22.74557639360716,33.66798413022076,0.0,5.97,199,0.5,1,,14086.714285714286,13564.0,4378.0,28317.0,295821.0,6686.203662339766,0.4219240547687265,1.2503108084867225
ID10912,10912,0,21656.556640625,27.63201123966485,9.2250948583494,0.0,6.0,200,0.5,1,,30652.52380952381,27679.0,10305.0,65535.0,643703.0,16130.327658231397,0.6906332098784354,1.5525697029018692
ID10913,10913,1,8000.4306640625,11.68957574719981,9.56907684896489,0.0,6.0,200,0.5,1,,14223.047619047618,12488.0,4499.0,27499.0,298684.0,6700.160135968322,0.503469755647909,1.4217268581254483
ID10914,10914,2,8859.681640625,9.444191520655437,14.592265411520678,0.0,6.0,200,0.5,1,,15293.666666666666,13433.0,4052.0,31214.0,321167.0,7585.660810590817,0.5027466305750093,1.3489989206117723
ID10915,10915,3,8933.716796875,16.269754482506347,16.844726739292344,0.0,6.0,200,0.5,1,,15798.095238095239,13571.0,6107.0,30763.0,331760.0,7275.519671506372,0.5037341885070472,1.4547925140436397
ID10916,10916,4,8167.11669921875,3.4841512423779832,18.68681982628764,0.0,6.0,200,0.5,1,,14629.095238095239,14447.0,4696.0,28167.0,307211.0,6792.976062851701,0.4931134023572136,1.4224643516070885
ID10917,10917,5,20374.611328125,20.655614286626502,28.705392968744043,0.0,6.0,200,0.5,1,,28456.47619047619,21151.0,13278.0,62347.0,597586.0,15102.620397199447,0.6971814605293095,1.548019259455338
ID10918,10918,6,7304.75634765625,22.742726892818563,33.67057492846709,0.0,6.0,200,0.5,1,,14059.333333333334,13813.0,4329.0,27818.0,295246.0,6590.037020634506,0.42124412198428873,1.2646549299984227
ID10919,10919,7,15568.2138671875,36.01361019349988,33.834169296058015,0.0,6.0,200,0.5,1,,39091.95238095238,37566.0,22689.0,57444.0,820931.0,8283.586182784546,0.49377854401668375,3.119930784635059
ID10920,10920,8,24741.220703125,17.2860441480352,34.586269558154754,0.0,6.0,200,0.5,1,,37125.619047619046,31447.0,13389.0,65535.0,779638.0,16612.76883447245,0.6757950436843747,1.8024190896501366
ID10921,10921,9,12454.1142578125,28.71856637600267,38.64471354759354,0.0,6.0,200,0.5,1,,21139.47619047619,15211.0,11233.0,44558.0,443929.0,9935.077828678784,0.5242241151222639,1.463595652448523
ID10922,10922,10,12063.6162109375,29.519416981922937,41.631602551612744,0.0,6.0,200,0.5,1,,29311.380952380954,28885.0,19700.0,46139.0,615539.0,6480.771354369713,0.4605924859685087,2.852511228494346
ID10923,10923,11,7577.7939453125,19.199637994409414,44.754346679796846,0.0,6.0,200,0.5,1,,15646.714285714286,14584.0,5508.0,27774.0,328581.0,6755.01963833457,0.4126412271777305,1.3532164595826672
ID10924,10924,12,7069.0634765625,18.161379732041873,47.49002297840199,0.0,6.0,200,0.5,1,,14618.42857142857,13897.0,5387.0,27398.0,306987.0,6113.634128498602,0.3905649048562285,1.3431768334066059
ID10925,10925,13,7025.9375,10.039136294771927,48.006381665555885,0.0,6.0,200,0.5,1,,14657.333333333334,14911.0,5916.0,26466.0,307804.0,6037.698496391927,0.4072782062284763,1.4051566645422364
ID10926,10926,14,21990.751953125,25.404,52.778999999999996,0.0,6.0,200,0.5,1,,64376.90476190476,65535.0,42326.0,65535.0,1351915.0,5058.295789144423,0.5177262985672263,8.682856682233002
ID10927,10927,15,6228.25830078125,3.3795731270646083,58.60971184552202,0.0,6.0,200,0.5,1,,14196.142857142857,13586.0,6540.0,24051.0,298119.0,5452.6906136852685,0.36655953818495707,1.3967075063199292
ID10928,10928,19,14925.2587890625,12.058260498993237,63.992590089151015,0.0,6.0,200,0.5,1,,24989.333333333332,23872.0,12074.0,48713.0,524776.0,10279.300979800782,0.5617900929826231,1.7489302762008243
ID10929,10929,17,5612.1904296875,23.729327709713946,66.30239245237452,0.0,6.0,200,0.5,1,,14993.0,14053.0,8259.0,24611.0,314853.0,5006.1874914949,0.2668419949625079,1.2616623791624257
ID10948,10948,0,18286.830078125,27.58407259368077,9.1624366091091,0.0,6.029999999999999,201,0.5,1,,26292.14285714286,23104.0,9037.0,56191.0,552135.0,14313.388834534308,0.6472667874963639,1.4435535215315842
ID10949,10949,1,8043.703125,11.687971851123462,9.568985822282707,0.0,6.029999999999999,201,0.5,1,,14228.857142857143,12812.0,4658.0,27609.0,298806.0,6740.840728616233,0.5039619868604648,1.4146430456611832
ID10950,10950,2,8993.5712890625,9.442067653805747,14.595856005547324,0.0,6.029999999999999,201,0.5,1,,15371.047619047618,13394.0,4093.0,32255.0,322792.0,7718.757765833764,0.5069881791241568,1.3399050981992242
ID10951,10951,3,8975.93359375,16.269724075763648,16.842538808817796,0.0,6.029999999999999,201,0.5,1,,15863.714285714286,13672.0,6146.0,30906.0,333138.0,7309.101908872643,0.5058526119404649,1.4581841996696316
