LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID15616,15616,43,9972.0751953125,58.71397165022995,32.65358011238953,0.0,0.0,0,0.5,1,,24982.0,22886.0,16301.0,40018.0,524622.0,6823.818300629055,0.31185409410283643,1.7405866987000709
ID15617,15617,45,7621.49267578125,85.30499447081567,33.80982611874313,0.0,0.0,0,0.5,1,,19193.666666666668,18543.0,12137.0,30989.0,403067.0,6329.597635974449,0.2989228021835729,1.3956854291611593
ID15618,15618,48,4535.7080078125,77.26004154496964,35.92512989819347,0.0,0.0,0,0.5,1,,16564.333333333332,15710.0,12123.0,23840.0,347851.0,3283.863415754884,0.1951006376170819,1.6469221947272772
ID15619,15619,,1457.8331298828125,103.75017098747543,36.322880219649846,0.0,0.0,0,0.5,1,,13626.047619047618,13571.0,11950.0,15397.0,286147.0,1122.7052808368933,0.07571976927732131,1.708615195813648
ID15620,15620,160,1274.34228515625,105.18966580201267,36.40277722942904,0.0,0.0,0,0.5,1,,12081.238095238095,12041.0,10067.0,13918.0,253706.0,1092.745482935615,0.06940876203161785,1.435135738127317
ID15621,15621,49,1722.912109375,111.76753545640048,36.566853585910465,0.0,0.0,0,0.5,1,,14743.952380952382,14830.0,11701.0,16891.0,309623.0,1339.0474030515304,0.12135875925449215,2.383276943543874
ID15622,15622,50,12910.2001953125,81.8616821477818,37.39809689955807,0.0,0.0,0,0.5,1,,26857.428571428572,25738.0,12509.0,46956.0,564006.0,10378.43456197238,0.4022586645080802,1.4847038986109575
ID15623,15623,51,2197.177001953125,1.4474843288188346,39.70096424321802,0.0,0.0,0,0.5,1,,14091.333333333334,14164.0,10381.0,17394.0,295918.0,2025.31250263591,0.10932604837140603,1.3713694803992762
ID15624,15624,54,9041.099609375,92.52466314518568,39.65380194403214,0.0,0.0,0,0.5,1,,21387.85714285714,18624.0,13251.0,40345.0,449145.0,8017.009899493167,0.2893172358195348,1.197290038376077
ID15625,15625,53,2350.42724609375,5.195432521747572,40.204734431055215,0.0,0.0,0,0.5,1,,14292.42857142857,14431.0,10203.0,17672.0,300141.0,2244.629648102969,0.11353537874232984,1.2984299496201601
ID15626,15626,,1721.0374755859375,4.340077870589602,40.74233000016436,0.0,0.0,0,0.5,1,,13607.666666666666,13925.0,10813.0,16185.0,285761.0,1582.804578377676,0.0885172764578845,1.3982314830368008
ID15627,15627,55,2839.430419921875,31.72425855584876,40.67444969890856,0.0,0.0,0,0.5,1,,14725.952380952382,14136.0,12097.0,18635.0,309245.0,1978.8570053490594,0.12869211964656477,1.6969749673310368
ID15628,15628,57,4653.74658203125,35.64646657204934,41.58894819610004,0.0,0.0,0,0.5,1,,18568.095238095237,17735.0,13529.0,24026.0,389930.0,2895.865292184046,0.2077025725931936,2.2054686011035054
ID15629,15629,60,3178.289306640625,17.723288851344503,42.00798939035803,0.0,0.0,0,0.5,1,,16728.428571428572,16882.0,12120.0,21186.0,351297.0,2447.5415537111635,0.1402318702244231,1.6811583366088279
ID15630,15630,58,2418.091064453125,107.64012413866126,42.24447603959824,0.0,0.0,0,0.5,1,,12366.190476190477,12101.0,9754.0,15948.0,259690.0,1881.7769426541397,0.1349208261436778,1.5624682848079439
ID15631,15631,59,18130.23828125,77.91389228194534,42.83323700189154,0.0,0.0,0,0.5,1,,43235.76190476191,44011.0,17375.0,65535.0,907951.0,12919.178061721892,0.4076025594462827,1.9381843509887986
ID15632,15632,61,7604.5537109375,9.632406998879448,43.61567565829057,0.0,0.0,0,0.5,1,,21113.761904761905,19724.0,15060.0,31858.0,443389.0,4681.761206050154,0.29877213993265705,2.0748824176405463
ID15633,15633,62,1805.9976806640625,31.02769879006644,43.64996036160312,0.0,0.0,0,0.5,1,,16004.333333333334,15960.0,13466.0,18527.0,336091.0,1624.5337279765333,0.0800610862537726,1.460535140410149
ID15634,15634,161,1323.9674072265625,44.35935807278322,43.9255814336901,0.0,0.0,0,0.5,1,,13344.095238095239,13322.0,12202.0,14838.0,280226.0,887.7829072899469,0.07335296653746337,2.0544116572961246
ID15635,15635,63,15404.169921875,60.2634796822879,46.475175996820894,0.0,0.0,0,0.5,1,,31514.619047619046,29648.0,18870.0,59741.0,661807.0,11493.657091962465,0.3916968731173568,1.5434383055478358
ID15636,15636,66,5286.38916015625,22.980420061244004,48.120222914338264,0.0,0.0,0,0.5,1,,19303.666666666668,18066.0,14833.0,29580.0,405377.0,4220.519190020741,0.17057884826111475,1.3329947267776212
ID15637,15637,65,9530.29296875,47.349310633276225,48.31500086431154,0.0,0.0,0,0.5,1,,21065.52380952381,17521.0,12381.0,40503.0,442376.0,8334.507727628834,0.30358309381729115,1.177229584916722
ID15638,15638,64,9170.65234375,42.38558769392885,48.524758289341946,0.0,0.0,0,0.5,1,,20228.85714285714,18012.0,10991.0,40294.0,424806.0,9118.670096487285,0.29544477320165924,1.0118758885212293
ID15639,15639,69,2658.00146484375,76.20473328104671,51.52009629538686,0.0,0.0,0,0.5,1,,19190.285714285714,19082.0,16648.0,22554.0,402996.0,1706.7432186142455,0.10200676387291792,2.0815553343826045
ID15640,15640,68,1450.291259765625,3.3597259906067647,51.59815207824404,0.0,0.0,0,0.5,1,,15093.0,15074.0,13277.0,16667.0,316953.0,1042.6567508053645,0.07299888684134215,1.9696142353282717
