LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID104769,104769,32,368.653076171875,50.7052894233307,134.02534587600164,0.0,0.0,0,1.5,1,,3706.6101694915255,2224.0,755.0,14718.0,656070.0,3389.421989223584,0.6570220761393296,0.8672272857546589
ID104768,104768,33,572.8208618164062,75.5941934222389,126.85554021652219,0.0,0.0,0,1.5,1,,6908.71186440678,5487.0,971.0,22955.0,1222842.0,4948.147108620723,0.6881915099748247,1.1383401971251954
ID104771,104771,0,221.85943603515625,108.69966591008301,150.9080642113889,0.0,0.0,0,1.5,1,,2538.107344632768,1643.0,983.0,19670.0,449245.0,2774.9813113216433,0.4631512931629895,0.5790466646395089
ID104770,104770,1,337.8774108886719,131.83995967454638,143.66688801900108,0.0,0.0,0,1.5,1,,3719.5819209039546,2815.0,707.0,10363.0,658366.0,2669.327393428475,0.695462750582131,1.1431623211679747
ID104773,104773,2,316.93035888671875,45.80303658503541,168.47605750313932,0.0,0.0,0,1.5,1,,3660.406779661017,2802.0,808.0,11898.0,647892.0,2716.0174394354344,0.6209831632459081,1.032590473118973
ID104772,104772,3,472.91851806640625,22.598764530438842,161.8706672673266,0.0,0.0,0,1.5,1,,3702.497175141243,1392.0,761.0,53074.0,655342.0,7540.241973845382,0.6543613662713661,0.38844248106371226
ID104775,104775,4,427.09033203125,44.385567423161284,177.80852154598884,0.0,0.0,0,1.5,1,,3527.8022598870057,1440.0,769.0,57874.0,624421.0,6991.345253597112,0.606920560527975,0.3811631637188736
ID104774,104774,5,429.23504638671875,94.77196574958602,169.93066711029218,0.0,0.0,0,1.5,1,,3872.124293785311,1544.0,1080.0,25110.0,685366.0,4993.366469664767,0.5693452199300542,0.5626561036484334
ID104777,104777,6,165.09121704101562,7.245016725927928,182.27317856534557,0.0,0.0,0,1.5,1,,3082.502824858757,3019.0,789.0,6160.0,545603.0,1231.1484758526274,0.4520680272544136,1.5589776055682723
ID104776,104776,7,394.2188720703125,84.40691906403472,178.52184077892352,0.0,0.0,0,1.5,1,,3552.5254237288136,1707.0,1060.0,51262.0,628797.0,6570.480689371728,0.529121434003891,0.3741824598664032
ID104779,104779,9,136.6616973876953,187.78468937459874,190.80804699946117,0.0,0.0,0,1.5,1,,2465.994350282486,2059.0,1368.0,8271.0,436481.0,1218.0998825348993,0.3066492499210796,0.9502153784784755
ID104778,104778,,105.84378051757812,130.91305215815083,187.67989428714475,0.0,0.0,0,1.5,1,,2787.1129943502824,2512.0,1812.0,6233.0,493319.0,837.7021456860462,0.2014445446948418,1.1156981807774433
ID104781,104781,10,474.21240234375,206.1727931342006,203.98223527574305,0.0,0.0,0,1.5,1,,3573.875706214689,1179.0,681.0,60387.0,632576.0,8325.760435261896,0.6468195900841359,0.33719619853875593
ID104780,104780,8,318.1728210449219,2.9527600560696676,194.59107005408933,0.0,0.0,0,1.5,1,,3041.7514124293784,1534.0,915.0,33480.0,538390.0,4764.7966003176425,0.5256278558442719,0.43988495747953904
ID104747,104747,12,230.5929718017578,64.61318478199827,6.547131812071362,0.0,0.0,0,1.5,1,,2383.1129943502824,1491.0,807.0,20488.0,421811.0,2892.404164496397,0.5303497354909956,0.5710673307261932
ID104749,104749,14,363.35235595703125,179.50647484940353,15.691906493665986,0.0,0.0,0,1.5,1,,3370.8813559322034,1458.0,649.0,14191.0,596646.0,3557.4763307432063,0.6549658283217205,0.749999639421297
ID104748,104748,11,163.87911987304688,177.5351651398175,10.953718464586643,0.0,0.0,0,1.5,1,,2038.2542372881355,1456.0,605.0,10605.0,360771.0,1726.822142956604,0.44615715173605563,0.7283046953722906
ID104751,104751,16,287.171875,88.27949072094904,25.90556209094886,0.0,0.0,0,1.5,1,,3493.7570621468926,2805.0,868.0,11098.0,618395.0,2451.6984147284984,0.599641515019392,1.0683773655280349
ID104750,104750,13,346.3294372558594,42.962096887705236,24.214794852719695,0.0,0.0,0,1.5,1,,2854.587570621469,1183.0,628.0,39703.0,505262.0,5606.4446068851785,0.6134139792482325,0.3871628552622786
ID104753,104753,18,324.090576171875,37.056500333675885,30.644225502887934,0.0,0.0,0,1.5,1,,3004.5819209039546,1170.0,749.0,16109.0,531811.0,3412.4752338946023,0.6029012330420565,0.6623445181972459
ID104752,104752,15,123.36063385009766,17.288711581883145,27.93691516449841,0.0,0.0,0,1.5,1,,1862.4180790960452,1441.0,684.0,7782.0,329648.0,1242.7760326778762,0.4150768361834772,0.8791495966427607
ID104755,104755,20,193.80401611328125,117.14969853248103,61.594434557991065,0.0,0.0,0,1.5,1,,3543.271186440678,3147.0,1870.0,6935.0,627159.0,1189.1223964619178,0.37430359082082443,1.6231144405810454
ID104754,104754,17,158.71234130859375,4.278976085821291,46.863487901103035,0.0,0.0,0,1.5,1,,2004.819209039548,1462.0,712.0,11157.0,354853.0,1717.077293844982,0.4266533860801796,0.6983483163296693
ID104757,104757,22,96.32675170898438,54.37319902140367,70.9594806057474,0.0,0.0,0,1.5,1,,2429.728813559322,2327.0,931.0,4436.0,430062.0,847.5550229626112,0.27705987106379276,1.2438908323015503
ID104756,104756,19,352.73126220703125,170.17764854011153,69.61777960229107,0.0,0.0,0,1.5,1,,3409.9661016949153,1788.0,1056.0,47235.0,603564.0,5589.710168834485,0.4837420151999202,0.3977829664079949
